Assets,Bank Name,Address,City,State,ZIP,URL,County,Parent Holding Company,Region
"$369,209,000",Valley Republic Bank,"5000 California Avenue, Suite 110",Bakersfield,California,93309,http://www.valleyrepublicbank.com,Kern, ,"Bakersfield, CA"
"$368,286,000",Valley Business Bank,701 West Main Street,Visalia,California,93291,www.valleybusinessbank.net,Tulare,Valley Commerce Bancorp,"Visalia-Porterville, CA"
"$362,706,000",First Choice Bank,17414 Carmenita Road,Cerritos,California,90703,www.firstchoicebankca.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$359,886,000",Mission Bank,1330 Truxtun Avenue,Bakersfield,California,93301,http://www.missionbank.com,Kern,Mission Bancorp,"Bakersfield, CA"
"$349,232,000",California Bank of Commerce,"3595 Mt. Diablo Blvd., 2nd Floor",Lafayette,California,94549,http://www.californiabankofcommerce.com,Contra Costa, ,"San Francisco-Oakland-Hayward, CA"
"$345,481,000","Broadway Federal Bank, f.s.b.",4835 Venice Boulevard,Los Angeles,California,90019,www.broadwayfederalbank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$342,007,000",National Bank of California,12121 Wilshire Blvd 14th Fl,Los Angeles,California,90025,http://www.nbcal.com,Los Angeles,Ncal Bancorp,"Los Angeles-Long Beach-Anaheim, CA"
"$338,752,000",Commerce West Bank,2111 Business Center Drive,Irvine,California,92612,www.cwbk.com,Orange, ,"Los Angeles-Long Beach-Anaheim, CA"
"$332,020,000",Universal Bank,"3455 Nogales Street, Suite #105",West Covina,California,91792,www.universalbank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$325,699,000",Bay Commercial Bank,500 Ygnacio Valley Road Suite 130,Walnut Creek,California,94596,http://www.baycommercialbank.com,Contra Costa, ,"San Francisco-Oakland-Hayward, CA"
"$316,783,000",Pacific Enterprise Bank,17748 Sky Park Circle,Irvine,California,92614,www.pacificenterprisebank.com,Orange,Pacific Enterprise Bancorp,"Los Angeles-Long Beach-Anaheim, CA"
"$313,340,000",San Diego Private Bank,"801 Orange Avenue, Suite 101",Coronado,California,92118,http://www.sandiegoprivatebank.net,San Diego, ,"San Diego-Carlsbad, CA"
"$288,986,000","American Plus Bank, N.A.",630 West Duarte Road,Arcadia,California,91007,http://www.bankaplus.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$279,694,000","One PacificCoast Bank, FSB","1438 Webster Street, Suite 100",Oakland,California,94612,www.opcb.com,Alameda, ,"San Francisco-Oakland-Hayward, CA"
"$277,673,000",Independence Bank,4525 Macarthur Boulevard,Newport Beach,California,92660,http://www.independence-bank.net,Orange, ,"Los Angeles-Long Beach-Anaheim, CA"
"$271,895,000","United Labor Bank, F.S.B.","100 Hegenberger Road, Suite 110",Oakland,California,94621,http://www.laborbank.com,Alameda, ,"San Francisco-Oakland-Hayward, CA"
"$270,084,000",Mega Bank,245 West Valley Boulevard,San Gabriel,California,91776,http://megabankusa.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$264,161,000",Wedbush Bank,"1000 Wilshire Boulevard, Suite 1150",Los Angeles,California,90017,www.wedbushbank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$263,693,000",Bank of Alameda,2130 Otis Drive,Alameda,California,94501,http://www.bankofalameda.com,Alameda,Norcal Community Bancorp,"San Francisco-Oakland-Hayward, CA"
"$262,886,000",United American Bank,"101 South Ellsworth Avenue, Suite 110",San Mateo,California,94401,http://www.unitedamericanbank.com,San Mateo,Atbancorp,"San Francisco-Oakland-Hayward, CA"
"$260,671,000",Focus Business Bank,"10 Almaden Boulevard, Suite 150",San Jose,California,95113,http://www.focusbusinessbank.com,Santa Clara, ,"San Jose-Sunnyvale-Santa Clara, CA"
"$255,363,000",Mission Valley Bank,9116 Sunland Boulevard,Sun Valley,California,91352,www.missionvalleybank.com,Los Angeles,Mission Valley Bancorp,"Los Angeles-Long Beach-Anaheim, CA"
"$247,318,000",Seacoast Commerce Bank,"11939 Rancho Bernardo Road, Suite 200",San Diego,California,92128,http://www.sccombank.com,San Diego, ,"San Diego-Carlsbad, CA"
"$247,306,000",Redwood Capital Bank,402 G Street,Eureka,California,95501,http://www.rdwo.com,Humboldt,Redwood Capital Bancorp,"Eureka-Arcata-Fortuna, CA"
"$246,050,000",Open Bank,"1000 Wilshire Boulevard, Suite 100",Los Angeles,California,90017,http://www.myopenbank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
